BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_900k to 1B,prob_greater than 1B
0 to 2.5k,0.9870604277,0.0004926290000000001,0.0006393971,0.0046714442,0.0007752636,0.0006064674,0.0001276194,0.0002543569,3.6240300000000006e-05,0.001474679,3.9564e-06,0.00023818490000000002,0.0020778633,4.540499999999999e-06,1.3793700000000001e-05,0.0014560571,3.944250000000001e-05,2.73828e-05
0 to 2.5k,0.9818423986,0.000250569,0.0064340089000000005,0.0064630108,0.0006200501000000001,0.0020566836,3.32515e-05,0.0003248007,3.1888600000000005e-05,0.0007523599000000001,4.824099999999999e-06,6.043960000000001e-05,0.0005753759,6.5471e-06,7.805699999999999e-06,0.0004426179,3.944060000000001e-05,5.3818400000000006e-05
0 to 2.5k,0.9673792720000001,0.0007582264,0.0143741192,0.0055683535000000004,0.0008658949000000001,0.0065749763,7.165060000000001e-05,0.0008043427,7.872500000000002e-05,0.0007058371,2.7525800000000003e-05,0.0001698088,0.0014477879,2.86522e-05,3.29437e-05,0.0008279678,0.00013272850000000002,0.0001510575
0 to 2.5k,0.9973284006,9.425280000000002e-05,0.0003233576,0.0011099315,9.341760000000002e-05,0.0004983404,1.6076000000000003e-05,5.7538400000000005e-05,7.537399999999999e-06,4.286990000000001e-05,1.0244999999999999e-06,2.45025e-05,0.00027540080000000003,1.1918e-06,1.1961999999999999e-06,0.0001091196,1.01553e-05,5.5453e-06
0 to 2.5k,0.9979678988,0.00013945290000000001,0.0001787324,0.0005942893,0.0001324648,0.0003751815,3.43719e-05,4.52863e-05,6.9332e-06,7.18016e-05,1.0770999999999998e-06,2.8004400000000002e-05,0.0002028368,1.0186999999999999e-06,2.1383e-06,0.0002026548,8.058299999999999e-06,7.8688e-06
0 to 2.5k,0.9857245684,0.0008551502,0.0010814411,0.0053828582,0.0008916994000000001,0.0015338938,0.00037849220000000004,0.00048367500000000003,9.08185e-05,0.0005902527,2.2410700000000002e-05,0.00039972090000000004,0.0009675074000000001,2.43253e-05,2.5059000000000002e-05,0.0012220172,0.0001481942,0.00017794730000000002
0 to 2.5k,0.9862343073000001,0.0004677777,0.0022015977000000003,0.0034085619,0.0004976059,0.0021092992,6.6345e-05,0.0001764891,2.6737600000000003e-05,0.0007320307000000001,3.1448e-06,0.0002237677,0.0030893344,3.1709e-06,8.811e-06,0.0006932658,3.1579400000000005e-05,2.6383600000000003e-05
0 to 2.5k,0.9925732613,0.00040481320000000003,0.0008426527000000001,0.0011078981,0.0012485296,0.0005892487,0.0002350683,0.00016374290000000001,6.50009e-05,0.0004923686000000001,2.9110500000000002e-05,0.00021779430000000002,0.00080146,3.0187200000000005e-05,1.84686e-05,0.0005663864,7.886010000000001e-05,0.0005352307000000001
0 to 2.5k,0.9445651174,0.0023992423,0.00011567580000000001,0.0093631158,1.23919e-05,0.0003545113,0.0429267772,1.05e-07,6.6665e-06,0.0001510132,1.758e-07,4.9275300000000006e-05,4.8817600000000005e-05,1.303e-07,3.5179999999999996e-07,6.4267e-06,1.998e-07,1.332e-07
0 to 2.5k,0.9959735274,0.0001576295,0.0003881666,0.0012728876,0.0001605989,0.000417906,2.1380400000000003e-05,0.00012073,9.4995e-06,0.0001720244,2.0765999999999997e-06,6.55567e-05,0.0008314998,2.1692999999999997e-06,2.2045e-06,0.00034391580000000003,2.1366200000000002e-05,3.6786700000000005e-05
