,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_YEAR,BEGIN_MONTH,DURATION_seconds,binary_damage
31921,0,0,0,0,7.0,7.0,39.2736,-98.97,39.2736,-98.97,2016,09,43200.0,0
22358,0,0,0,0,2.0,1.0,22.1167,-159.7028,21.9597,-159.3718,2017,02,40800.0,0
46530,0,0,0,0,0.0,2.0,21.5732,-158.131,21.3931,-157.7774,2016,12,10560.0,0
23202,0,0,0,0,1.0,1.0,45.5157,-122.3617,45.5157,-122.3617,2017,02,25200.0,0
51919,0,0,0,0,6.0,6.0,46.5614,-113.9907,46.5614,-113.9907,2014,07,900.0,0
25486,0,0,0,0,3.0,3.0,42.5,-94.36,42.5,-94.36,2016,07,47640.0,0
15876,0,0,0,0,0.0,0.0,38.92,-75.42,39.28,-75.63,2009,12,25200.0,0
36862,0,0,0,0,0.0,0.0,42.02,-93.45,42.02,-93.45,2014,09,0.0,0
44583,0,0,0,0,1.0,1.0,37.98,-100.86,37.98,-100.86,2012,07,28200.0,0
27627,0,0,0,0,0.0,0.0,37.33,-77.07,37.33,-77.07,2008,12,115200.0,0
