BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_800k to 900k,prob_900k to 1B,prob_greater than 1B
0 to 2.5k,0.9993987083,7.3276e-06,4.36151e-05,0.0003687316,4.5585000000000005e-06,2.43214e-05,7.75e-08,6.660899999999999e-06,8.046099999999999e-06,2.8620900000000006e-05,1.1839999999999999e-07,2.6718999999999998e-06,7.33892e-05,2e-10,3.803e-07,3.15595e-05,1e-10,4.7e-07,7.496e-07
0 to 2.5k,0.3570187092,0.0403388627,0.0960913375,0.0720296055,0.0200049151,0.0866050124,0.0079358788,0.0240964629,0.0169471093,0.0689752102,0.0029416301000000002,0.0280632544,0.09616789220000001,0.0006703492000000001,0.0049957181,0.0649601519,0.0006501685000000001,0.0053155413000000006,0.0061922241
0 to 2.5k,0.9311392307,0.0020540648000000002,0.0059796991,0.0174681395,0.0026626796,0.0087889517,0.0005057075,0.0009665479,0.0030931165,0.0049890364,0.0004633915,0.0005757724,0.007783309600000001,1.1303700000000002e-05,0.0009434282,0.0106070926,3.2431999999999997e-06,0.0012259101,0.0007393378
0 to 2.5k,0.7997447848,0.0114646722,0.020497620100000002,0.0362552628,0.0097079333,0.0231745653,0.0021390554,0.0047158804000000006,0.0100861369,0.0166837964,0.0020792116000000003,0.0040182681,0.023645527700000002,9.420730000000001e-05,0.0028232343,0.025157727300000002,4.7930200000000004e-05,0.0038772284,0.0037870244
0 to 2.5k,0.9999060631000001,1.1312999999999999e-06,4.731399999999999e-06,6.742980000000001e-05,6.872e-07,1.7444000000000002e-06,1.23e-08,7.679999999999999e-07,2.2631999999999998e-06,2.1109e-06,3.55e-08,2.842e-07,8.6422e-06,0.0,1.1229999999999999e-07,3.3444e-06,0.0,2.168e-07,3.802e-07
0 to 2.5k,0.8174659014000001,0.0069733006,0.021996703000000003,0.0383417234,0.0057386495,0.0235963836,0.0016895897,0.0038663729,0.006643204000000001,0.014695285800000001,0.0011030601000000001,0.0029503379000000002,0.0251491405,6.276980000000001e-05,0.0020280622000000002,0.0231713615,3.3792700000000006e-05,0.0025121015000000003,0.0019822749
0 to 2.5k,0.46450766920000003,0.0214792509,0.0035872634,0.0058347243,0.0230899844,0.0028339888000000002,0.017731683300000002,0.0020220699,0.047826521100000005,0.0032621131,0.0357993916,0.0032997427000000003,0.0030798342,0.0062568542,0.029178520700000002,0.0122839296,0.0023512729,0.1068341658,0.2087410688
0 to 2.5k,0.5242875814,0.052685737600000004,0.0392576456,0.035349719200000004,0.033367604,0.047536049000000004,0.0073421453,0.0171155501,0.024094348800000002,0.0561117306,0.0031679661,0.022989517100000002,0.0451602563,0.0006400084,0.0066752313,0.0658082962,0.00035653080000000003,0.0079494761,0.0101046227
0 to 2.5k,0.9259353876,0.0051108045,0.0059750732,0.012925410600000001,0.0038357731000000003,0.0049888622,0.0008881059,0.0018241793,0.0070804465,0.0052850284,0.0009789946,0.0016989539,0.00746358,4.2868500000000005e-05,0.0018156513,0.0087823654,2.23217e-05,0.0028887559,0.0024575423
0 to 2.5k,0.9883805513,0.0002523523,0.001189762,0.0046432829,0.0001978006,0.001097307,1.1570800000000003e-05,0.0001791179,0.00022815400000000002,0.00091174,1.1403400000000002e-05,9.5136e-05,0.0015061612,9.880000000000001e-08,2.3950800000000005e-05,0.0012070313,4.4000000000000004e-08,2.7310800000000003e-05,3.73793e-05
